Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Early-demographic dividend,EAR,0.000260640455923781,1.22576980238529,21.3946854914801,24.3099949132237,27.0858048318851,29.8954330713743,32.8657874414065,39.7003096831546,48.0919987446616,51.9041614126876,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,East Asia & Pacific,EAS,0.00734823950366306,5.62736591319578,45.5,48.3,51.7,53.8,58.9,63.8,69,72.8,75.6,79
Individuals using the Internet (% of population),IT.NET.USER.ZS,East Asia & Pacific (excluding high income),EAP,0,1.89212912662152,41.1489322605398,44.0152935613343,47.6134081851367,50.0424601498069,55.8674750932986,60.6550812533366,66.508874141041,70.8057840396548,74.84475100659,77.1200765331796
Individuals using the Internet (% of population),IT.NET.USER.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,0,1.91765560496174,41.2,44.1,47.7,50.1,55.8,60.7,67.2,71.4,74.6,78.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Euro area,EMU,0.0715087515645814,22.2708770162416,76.9722723753085,77.3896546332908,77.9294999358394,79.5199420505418,82.9088677443566,83.3474472889691,85.2038139147895,87.1980821816406,89.2920140842906,90.6103785138956
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia,ECS,0.0480308340883355,13.1334830448041,68.8,69.8,72.3,74.4,78.1,80.3,83.4,86,87.9,90.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia (excluding high income),ECA,0,1.67375245803559,48.6002709733298,51.9012080421846,56.226859343416,60.4710363720963,68.1399701547638,73.4571442869478,74.9573069739279,78.7016293969,81.857996881066,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,0,2.49684349153893,57.5,59.3,63.2,66.9,71.7,75.2,78.6,82.3,85.1,88.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,European Union,EUU,0.0668585536740946,19.6865565183632,75.1786952274586,75.6659369090635,76.9217821652477,78.7162161047232,81.7564249327375,82.7592730426534,84.7697008634166,86.9564365081745,88.9038893045805,90.1646092495094
Individuals using the Internet (% of population),IT.NET.USER.ZS,Fragile and conflict affected situations,FCS,0,0.371769383710945,15.6,17.8,20,22.5,25.3,28,31.9,34,36.7,39.3
Individuals using the Internet (% of population),IT.NET.USER.ZS,Heavily indebted poor countries (HIPC),HPC,0,0.165108828835905,7.84939431497168,11.2021754084284,13.9306416645021,15.861315709639,18.5349292387662,19.9249355460514,24.3188424696185,27.6468886363448,30.9290498681477,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,High income,HIC,0.218870190348917,26.5598988537855,77,78.3,82.5,84.3,86.4,87.6,90,91.3,92,93.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,IBRD only,IBD,0,1.872429391656,36.4,39.2,42.1,44.9,48.7,54.6,62.8,66.3,68.7,72.2
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA & IBRD total,IBT,0,1.55561470010044,30.2,32.8,35.6,38.3,41.9,46.9,53.8,57.1,59.7,63.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA blend,IDB,0,..,16.4,18.1,19.7,21.3,23.5,26.6,29.1,33.1,38.1,41.5
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA only,IDX,0,0.148415784985092,9.1,11.7,14.8,18,21.6,24.7,28.9,31.7,34.3,38
Individuals using the Internet (% of population),IT.NET.USER.ZS,IDA total,IDA,0,0.167358637818924,11.5,13.9,16.5,19.1,22.2,25.3,28.9,32.2,35.6,39.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Late-demographic dividend,LTE,0,2.47926376878008,50.7772641135649,53.3806661326773,56.8138783969589,59.0992524209959,63.8057527105492,68.1727844887852,73.6134707900286,76.5897299710956,78.842845089037,80.8026543821768
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean,LCN,0,3.88642893638884,48.7,54.3,57.5,62.3,65.3,68,74.1,76,77.6,81
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & Caribbean (excluding high income),LAC,0,3.3609205012988,47.7067537542256,53.3676299204352,56.4411777845933,59.3126598075821,62.721914255636,68.1671173718131,73.4452128496053,75.328829797235,77.522121131173,83.1964867379037
Individuals using the Internet (% of population),IT.NET.USER.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,0,3.90346660807724,49,54.6,57.7,62.4,65.4,68,74.2,76,77.7,81.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Least developed countries: UN classification,LDC,0,0.0991290419476825,8.64737591413306,10.546843171748,14.0452827835144,16.2725975335115,19.0572166998734,22.9745728109676,25.3245415455641,28.2802068716477,30.7157063088173,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low & middle income,LMY,0,1.39170457055199,28.6883422116554,31.4086112399697,34.1026063892478,36.642622540635,40.3966640561037,45.7025830851034,52.288853931873,55.8635469263053,62.0445300044265,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Low income,LIC,0,0.0785463808680832,7,8.9,10.3,12.1,14,17.5,18.8,21.6,23.7,27.1
Individuals using the Internet (% of population),IT.NET.USER.ZS,Lower middle income,LMC,0,0.525487954030028,17.2,19.3,21.8,24.3,27.3,33.7,43.4,46.8,49.7,53.4
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle East & North Africa,MEA,0.00207254077112048,1.71931141420424,39.9,44.1,48.2,54.8,58.1,63.4,69.8,72.6,75.5,77.7
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle East & North Africa (excluding high income),MNA,0,0.866551053730684,34.5356975674316,38.9597159412621,42.9959163354892,50.8059816830545,54.1856207681756,62.2591271206562,64.480264370234,69.1275002897689,72.6845899636948,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,0,0.863591820532665,34.4,38.6,42.8,48.4,52.1,57.9,65.1,68.3,71.5,74
